ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
106,Brevin Knight,1998,2009,G,5-10,173,November 8, 1975,Stanford University
107,Negele Knight,1991,1999,G,6-1,175,March 6, 1967,University of Dayton
108,Ron Knight,1971,1972,F,6-7,215,August 4, 1947,California State University, Los Angeles
109,Toby Knight,1978,1982,F,6-9,210,May 3, 1955,University of Notre Dame
110,Travis Knight,1997,2003,C,7-0,235,September 13, 1974,University of Connecticut
111,Lee Knorek,1947,1950,C,6-7,215,July 15, 1921,University of Detroit Mercy
112,Dick Knostman,1954,1954,C,6-6,215,August 9, 1931,Kansas State University
113,Rod Knowles,1969,1969,F-C,6-9,215,February 27, 1946,Davidson College
114,Bart Kofoed,1988,1993,G,6-4,210,March 24, 1964,Hastings College, University of Nebraska at Kearney
115,Don Kojis,1964,1975,F,6-5,215,January 15, 1939,Marquette University
116,Milo Komenich,1950,1950,F-C,6-7,212,June 22, 1920,University of Wyoming
117,Howard Komives,1965,1974,G,6-1,185,May 9, 1941,Bowling Green State University
118,Jon Koncak,1986,1996,C-F,7-0,250,May 17, 1963,Southern Methodist University
119,Tom Kondla,1969,1969,C,6-8,225,November 30, 1946,University of Minnesota
120,Bud Koper,1965,1965,G,6-6,210,August 9, 1942,Oklahoma City University
121,Joe Kopicki,1983,1985,F,6-9,240,June 12, 1960,University of Detroit Mercy
122,Furkan Korkmaz,2018,2018,G,6-7,185,July 24, 1997,
123,Frank Kornet,1990,1991,F,6-9,225,January 27, 1967,Vanderbilt University
124,Luke Kornet,2018,2018,F,7-1,250,July 15, 1995,Vanderbilt University
125,Yaroslav Korolev,2006,2007,F,6-9,203,May 7, 1987,
126,Kyle Korver,2004,2018,G-F,6-7,212,March 17, 1981,Creighton University
127,Tony Koski,1969,1969,F,6-8,215,June 26, 1946,Providence College
128,Len Kosmalski,1975,1976,C,7-0,245,November 29, 1951,University of Tennessee
129,Andy Kostecka,1949,1949,F,6-3,203,February 10, 1921,Georgetown University
130,Harold Kottman,1947,1947,C,6-8,220,August 22, 1922,Culver-Stockton College
131,Kosta Koufos,2009,2018,C,7-0,265,February 24, 1989,Ohio State University
132,Tom Kozelko,1974,1976,F,6-8,220,July 1, 1951,University of Toledo
133,Ronald Kozlicki,1968,1968,F,6-7,215,December 12, 1944,Northwestern University
134,Arvid Kramer,1980,1980,C,6-9,220,October 2, 1956,Augustana College (SD)
135,Barry Kramer,1965,1970,F-G,6-4,200,November 10, 1942,New York University
136,Joel Kramer,1979,1983,F-C,6-7,203,November 30, 1955,San Diego State University
137,Steven Kramer,1968,1970,G-F,6-5,200,January 1, 1945,Brigham Young University
138,Dan Kraus,1949,1949,G,6-0,195,February 13, 1923,Georgetown University
139,Herb Krautblatt,1949,1949,G,6-1,190,November 19, 1926,Rider University
140,Viacheslav Kravtsov,2013,2014,C,7-0,260,August 25, 1987,
141,Jim Krebs,1958,1964,C-F,6-8,230,September 8, 1935,Southern Methodist University
142,Wayne Kreklow,1981,1981,G,6-4,175,January 4, 1957,Drake University
143,Tommy Kron,1967,1970,G,6-5,200,February 28, 1943,University of Kentucky
144,Tom Kropp,1976,1977,G,6-3,205,February 12, 1953,University of Nebraska at Kearney
145,Nenad Krstic,2005,2011,C,7-0,240,July 25, 1983,
146,Larry Krystkowiak,1987,1997,F-C,6-9,220,September 23, 1964,University of Montana
147,Steve Kuberski,1970,1978,F-C,6-8,215,November 6, 1947,Bradley University
148,Leo Kubiak,1950,1950,G,5-11,160,December 25, 1927,Bowling Green State University
149,Bruce Kuczenski,1984,1984,F,6-10,230,February 3, 1961,University of Connecticut
150,Frank Kudelka,1950,1953,G-F,6-2,193,June 25, 1925,Saint Mary's College of California
151,John Kuester,1978,1980,G,6-2,180,February 6, 1955,University of North Carolina
152,Ray Kuka,1948,1949,F,6-3,200,February 17, 1922,University of Notre Dame
153,Toni Kukoc,1994,2006,F,6-10,192,September 18, 1968,
154,Kevin Kunnert,1974,1982,C-F,7-0,230,November 11, 1951,University of Iowa
155,Terry Kunze,1968,1968,G-F,6-4,210,March 11, 1943,University of Minnesota
156,Mitch Kupchak,1977,1986,F-C,6-9,230,May 24, 1954,University of North Carolina
157,C.J. Kupec,1976,1978,F-C,6-6,220,January 16, 1953,University of Michigan
158,Rob Kurz,2009,2009,F,6-9,232,March 5, 1985,University of Notre Dame
159,Ibo Kutluay,2005,2005,G,6-6,200,July 1, 1974,
160,Kyle Kuzma,2018,2018,F,6-9,220,July 24, 1995,University of Utah
161,Ognjen Kuzmic,2014,2015,C,7-1,251,May 16, 1990,
162,Mindaugas Kuzminskas,2017,2018,F,6-9,215,October 19, 1989,
1,Skal Labissiere,2017,2018,F,6-11,225,March 18, 1996,University of Kentucky
2,Reggie Lacefield,1969,1969,G-F,6-5,230,April 10, 1945,Western Michigan University
3,Edgar Lacey,1969,1969,F,6-6,190,August 2, 1944,University of California, Los Angeles
4,Sam Lacey,1971,1983,C,6-10,235,March 28, 1948,New Mexico State University
5,Bob Lackey,1973,1974,G-F,6-5,200,April 4, 1949,Marquette University
6,Fred LaCour,1961,1963,G-F,6-5,210,February 7, 1938,University of San Francisco
7,Wendell Ladner,1971,1975,F,6-5,220,October 6, 1948,University of Southern Mississippi
8,Christian Laettner,1993,2005,F-C,6-11,235,August 17, 1969,Duke University
9,Oliver Lafayette,2010,2010,G,6-2,190,May 6, 1984,University of Houston
10,Raef LaFrentz,1999,2008,F-C,6-11,240,May 29, 1976,University of Kansas
11,Tom LaGarde,1978,1985,C-F,6-10,220,February 10, 1955,University of North Carolina
12,Bill Laimbeer,1981,1994,C,6-11,245,May 19, 1957,University of Notre Dame
13,Pete Lalich,1947,1947,F,6-2,190,June 23, 1920,Ohio University
14,Bo Lamar,1974,1977,G,6-1,180,April 7, 1951,University of Louisiana at Lafayette
15,Doron Lamb,2013,2014,G,6-4,210,November 6, 1991,University of Kentucky
16,Jeremy Lamb,2013,2018,G-F,6-5,185,May 30, 1992,University of Connecticut
17,John Lambert,1976,1982,C-F,6-10,225,January 14, 1953,University of Southern California
18,Jeff Lamp,1982,1989,F-G,6-6,195,March 9, 1959,University of Virginia
19,Maciej Lampe,2004,2006,C,6-11,275,February 5, 1985,
20,Jim Lampley,1987,1987,C,6-10,230,July 2, 1960,Vanderbilt University, University of Arkansas at Little Rock
21,Sean Lampley,2003,2004,F,6-7,227,September 3, 1979,University of California
22,Carl Landry,2008,2016,F,6-9,248,September 19, 1983,Purdue University
23,Marcus Landry,2010,2010,F,6-7,230,November 1, 1985,University of Wisconsin
24,Mark Landsberger,1978,1984,F-C,6-8,215,May 21, 1955,University of Minnesota, Arizona State University
25,Jerome Lane,1989,1993,F,6-6,230,December 4, 1966,University of Pittsburgh
26,Andrew Lang,1989,2000,C,6-11,245,June 28, 1966,University of Arkansas
27,Antonio Lang,1995,2000,F-G,6-8,205,May 15, 1972,Duke University
28,James Lang,2007,2007,C,6-10,285,October 17, 1983,
29,Trajan Langdon,2000,2002,G,6-3,197,May 13, 1976,Duke University
30,Keith Langford,2008,2008,G,6-4,215,September 15, 1983,University of Kansas
31,Dan Langhi,2001,2004,F,6-11,220,November 28, 1977,Vanderbilt University
32,Bob Lanier*,1971,1984,C,6-11,250,September 10, 1948,St. Bonaventure University
33,Stu Lantz,1969,1976,G,6-3,175,July 13, 1946,University of Nebraska
34,Nicolas Laprovittola,2017,2017,G,6-4,180,January 31, 1990,
35,York Larese,1962,1962,G,6-4,183,July 18, 1938,University of North Carolina
36,Shane Larkin,2014,2018,G,5-11,175,October 2, 1992,University of Miami
37,Rusty LaRue,1998,2004,G,6-2,210,December 10, 1973,Wake Forest University
38,Rudy LaRusso,1960,1969,F-C,6-7,220,November 11, 1937,Dartmouth College
39,John Laskowski,1976,1977,G,6-6,185,June 7, 1953,Indiana University
40,Stephane Lasme,2008,2008,F,6-8,215,December 17, 1982,University of Massachusetts Amherst
41,Dave Lattin,1968,1973,F-C,6-6,225,December 23, 1943,University of Texas at El Paso
42,Priest Lauderdale,1997,1998,C,7-4,325,August 31, 1973,Central State University
43,Rich Laurel,1978,1978,G,6-6,190,July 11, 1954,Hofstra University
44,Harry Laurie,1971,1971,G,6-1,178,November 2, 1944,Saint Peter's College
45,Walt Lautenbach,1950,1950,G-F,6-2,185,November 17, 1922,University of Wisconsin
46,Joffrey Lauvergne,2015,2018,C-F,6-11,220,September 30, 1991,
47,Tony Lavelli,1950,1951,F,6-3,185,July 11, 1926,Yale University
48,Zach LaVine,2015,2018,G,6-5,189,March 10, 1995,University of California, Los Angeles
49,Bob Lavoy,1951,1954,F-C,6-7,185,June 29, 1926,Western Kentucky University
50,Acie Law,2008,2011,G,6-3,195,January 25, 1985,Texas A&M; University
51,Gani Lawal,2011,2011,F,6-9,234,November 7, 1988,Georgia Institute of Technology
52,Edmund Lawrence,1981,1981,C,7-0,228,December 8, 1952,McNeese State University
53,Jason Lawson,1998,1998,C,6-11,240,September 2, 1974,Villanova University
54,Ty Lawson,2010,2017,G,5-11,195,November 3, 1987,University of North Carolina
55,Jake Layman,2017,2018,F,6-9,210,March 7, 1994,University of Maryland
56,Mo Layton,1972,1978,G,6-1,180,December 24, 1948,University of Southern California
57,T.J. Leaf,2018,2018,F,6-10,222,April 30, 1997,University of California, Los Angeles
58,Manny Leaks,1969,1974,C-F,6-8,225,November 27, 1945,Niagara University
59,Hal Lear,1957,1957,G,6-0,163,January 31, 1935,Temple University
60,Allen Leavell,1980,1989,G,6-1,170,May 27, 1957,Oklahoma City University
61,Jeff Lebo,1990,1990,G,6-2,180,October 5, 1966,University of North Carolina
62,Eric Leckner,1989,1997,C-F,6-11,265,May 27, 1966,University of Wyoming
63,Ricky Ledo,2014,2015,G,6-7,195,September 10, 1992,
64,Butch Lee,1979,1980,G,6-0,185,December 5, 1956,Marquette University
65,Clyde Lee,1967,1976,F-C,6-10,205,March 14, 1944,Vanderbilt University
66,Courtney Lee,2009,2018,G,6-5,200,October 3, 1985,Western Kentucky University
67,Damion Lee,2018,2018,G,6-6,210,October 21, 1992,Drexel University, University of Louisville
68,David Lee,1968,1969,F,6-7,225,March 31, 1942,University of San Francisco
69,David Lee,2006,2017,F,6-9,245,April 29, 1983,University of Florida
70,Dick Lee,1968,1968,F,6-6,,,University of Washington
71,Doug Lee,1992,1995,G-F,6-5,200,October 24, 1964,Texas A&M; University, Purdue University
72,George Lee,1961,1968,F-G,6-4,200,November 23, 1936,University of Michigan
73,Greg Lee,1975,1976,G,6-3,190,December 12, 1951,University of California, Los Angeles
74,Keith Lee,1986,1989,F-C,6-10,215,December 28, 1962,University of Memphis
75,Kurk Lee,1991,1991,G,6-3,190,June 3, 1967,Western Kentucky University, Towson University
76,Malcolm Lee,2012,2015,G,6-5,200,May 22, 1990,University of California, Los Angeles
77,Rock Lee,1982,1982,C,6-10,220,May 1, 1955,University of California, San Diego State University
78,Ron Lee,1977,1982,G,6-4,193,November 2, 1952,University of Oregon
79,Russ Lee,1973,1975,G-F,6-5,185,January 27, 1950,Marshall University
80,Ed Leede,1950,1951,F-G,6-3,185,July 17, 1927,Dartmouth College
81,Hank Lefkowitz,1947,1947,F,6-2,190,August 31, 1923,Case Western Reserve University
82,Tim Legler,1990,2000,G,6-4,200,December 26, 1966,La Salle University
83,George Lehmann,1968,1974,G,6-0,180,May 1, 1942,Campbell University
84,Walt Lemon, Jr.,2018,2018,G,6-3,180,July 26, 1992,Bradley University
85,Alex Len,2014,2018,C,7-1,260,June 16, 1993,University of Maryland
86,Voshon Lenard,1996,2006,G,6-4,205,May 14, 1973,University of Minnesota
87,Leary Lentz,1968,1969,F,6-6,200,February 23, 1945,University of Houston
88,Gary Leonard,1990,1992,C,7-1,250,February 16, 1967,University of Missouri
89,Kawhi Leonard,2012,2018,F,6-7,230,June 29, 1991,San Diego State University
90,Meyers Leonard,2013,2018,C-F,7-1,245,February 27, 1992,University of Illinois at Urbana-Champaign
91,Slick Leonard*,1957,1963,G,6-3,185,July 17, 1932,Indiana University
92,Jim Les,1989,1995,G,5-11,165,August 18, 1963,Cleveland State University, Bradley University
93,Travis Leslie,2012,2012,G,6-4,205,March 29, 1990,University of Georgia
94,Ronnie Lester,1981,1986,G,6-2,175,January 1, 1959,University of Iowa
95,Clifford Lett,1990,1991,G,6-3,170,December 23, 1965,University of Florida
96,Jon Leuer,2012,2018,F,6-10,228,May 14, 1989,University of Wisconsin
97,Andrew Levane,1949,1953,F-G,6-2,190,April 11, 1920,St. John's University
98,Fat Lever,1983,1994,G,6-3,170,August 18, 1960,Arizona State University
99,Caris LeVert,2017,2018,G-F,6-7,203,August 25, 1994,University of Michigan
100,Cliff Levingston,1983,1995,F,6-8,210,January 4, 1961,Wichita State University
101,Bobby Lewis,1968,1971,G,6-3,175,March 20, 1945,University of North Carolina
102,Cedric Lewis,1996,1996,F-C,6-10,235,September 24, 1969,University of Maryland
103,Freddie Lewis,1949,1950,F-G,6-2,195,January 6, 1921,Eastern Kentucky University
104,Freddie Lewis,1967,1977,G,6-0,175,July 1, 1943,Arizona State University
105,Grady Lewis,1947,1949,F-C,6-7,215,March 25, 1917,University of Oklahoma
106,Martin Lewis,1996,1997,F,6-5,210,April 28, 1975,Butler County Community College, Seward County Community College
107,Mike Lewis,1969,1974,C-F,6-8,225,March 18, 1946,Duke University
108,Quincy Lewis,2000,2004,F,6-7,215,June 26, 1977,University of Minnesota
109,Ralph Lewis,1988,1990,G,6-6,200,March 28, 1963,La Salle University
110,Rashard Lewis,1999,2014,F,6-10,215,August 8, 1979,
111,Reggie Lewis,1988,1993,G-F,6-7,195,November 21, 1965,Northeastern University
112,Marcus Liberty,1991,1994,F,6-8,205,October 27, 1968,University of Illinois at Urbana-Champaign
113,Todd Lichti,1990,1994,G-F,6-4,205,January 8, 1967,Stanford University
114,Barry Liebowitz,1968,1968,G,6-2,180,September 10, 1945,Long Island University
115,DeAndre Liggins,2012,2018,G,6-6,209,March 31, 1988,University of Kentucky
116,Bill Ligon,1975,1975,G,6-4,180,May 29, 1952,Vanderbilt University
117,Goose Ligon,1968,1974,F-C,6-7,210,February 22, 1944,
118,Damian Lillard,2013,2018,G,6-3,195,July 15, 1990,Weber State University
119,Jeremy Lin,2011,2018,G,6-3,200,August 23, 1988,Harvard University
120,Steve Lingenfelter,1983,1984,F,6-9,225,June 10, 1958,University of Minnesota, South Dakota State University
121,Alton Lister,1982,1998,C-F,7-0,240,October 1, 1958,Arizona State University
122,Samuel Little,1970,1970,G,6-0,180,March 29, 1946,Delta State University
123,Gene Littles,1970,1975,G,6-0,160,June 29, 1943,High Point University
124,Randy Livingston,1997,2007,G,6-4,209,April 2, 1975,Louisiana State University
125,Shaun Livingston,2005,2018,G,6-7,192,September 11, 1985,
126,Ron Livingstone,1950,1951,C,6-10,220,October 9, 1925,University of Wyoming
127,Horacio Llamas Grey,1997,1998,C,6-11,285,July 17, 1973,Grand Canyon University
128,Bobby Lloyd,1968,1969,G,6-2,184,January 3, 1946,Rutgers University
129,Chuck Lloyd,1971,1971,C-F,6-8,220,May 22, 1947,Yankton College
130,Earl Lloyd*,1951,1960,F-C,6-5,200,April 3, 1928,West Virginia State University
131,Lewis Lloyd,1982,1990,G-F,6-6,205,February 22, 1959,Drake University
132,Scott Lloyd,1977,1983,C-F,6-10,230,December 19, 1952,Arizona State University
133,Riney Lochmann,1968,1970,F,6-6,215,May 26, 1944,University of Kansas
134,Bob Lochmueller,1953,1953,F,6-5,185,June 5, 1927,University of Louisville
135,Rob Lock,1989,1989,F,6-9,225,May 22, 1966,University of Kentucky
136,Darrell Lockhart,1984,1984,C,6-9,245,September 14, 1960,Auburn University
137,Ian Lockhart,1991,1991,F,6-8,240,June 25, 1967,University of Tennessee
138,Kevin Loder,1982,1984,F-G,6-6,205,March 15, 1959,Kentucky State University, Alabama State University
139,Don Lofgran,1951,1954,F-C,6-5,200,November 8, 1929,University of San Francisco
140,Henry Logan,1969,1970,G,6-0,180,March 14, 1946,Western Carolina University
141,John Logan,1947,1951,G,6-2,175,January 1, 1921,Indiana University
142,Brad Lohaus,1988,1998,F-C,6-11,230,September 29, 1964,University of Iowa
143,Art Long,2001,2003,F,6-9,250,October 1, 1972,University of Cincinnati
144,Grant Long,1989,2003,F,6-8,225,March 12, 1966,Eastern Michigan University
145,John Long,1979,1997,G-F,6-5,195,August 28, 1956,University of Detroit Mercy
146,Paul Long,1968,1971,G,6-2,180,February 8, 1944,Wake Forest University
147,Shawn Long,2017,2017,C-F,6-9,255,January 29, 1993,University of Louisiana at Lafayette
148,Willie Long,1972,1974,F-C,6-8,225,March 1, 1950,University of New Mexico
149,Luc Longley,1992,2001,C,7-2,265,January 19, 1969,University of New Mexico
150,Kevon Looney,2016,2018,F-C,6-9,220,February 6, 1996,University of California, Los Angeles
151,Brook Lopez,2009,2018,C,7-0,275,April 1, 1988,Stanford University
152,Felipe Lopez,1999,2002,G,6-5,199,December 19, 1974,St. John's University
153,Raul Lopez,2004,2005,G,6-1,170,April 15, 1980,
154,Robin Lopez,2009,2018,C,7-0,255,April 1, 1988,Stanford University
155,Ryan Lorthridge,1995,1995,G,6-4,190,July 27, 1972,Jackson State University
156,Jim Loscutoff,1956,1964,F,6-5,220,February 4, 1930,University of Oregon
157,Plummer Lott,1968,1969,F-G,6-5,210,December 11, 1945,Seattle University
158,Kevin Loughery,1963,1973,G,6-3,190,March 28, 1940,Boston College, St. John's University
159,Bob Love,1967,1977,F,6-8,215,December 8, 1942,Southern University and A&M; College
160,Kevin Love,2009,2018,F,6-10,251,September 7, 1988,University of California, Los Angeles
161,Stan Love,1972,1975,F,6-9,215,April 9, 1949,University of Oregon
162,Clyde Lovellette*,1954,1964,C-F,6-9,234,September 7, 1929,University of Kansas
163,Sidney Lowe,1984,1990,G,6-0,195,January 21, 1960,North Carolina State University
164,Charlie Lowery,1972,1972,G,6-3,185,November 12, 1949,University of Puget Sound
165,Kyle Lowry,2007,2018,G,6-0,205,March 25, 1986,Villanova University
166,Al Lucas,1949,1949,F-G,6-3,195,July 4, 1922,Fordham University
167,Jerry Lucas*,1964,1974,F-C,6-8,230,March 30, 1940,Ohio State University
168,John Lucas,1977,1990,G,6-3,175,October 31, 1953,University of Maryland
169,Kalin Lucas,2015,2015,G,6-1,195,May 24, 1989,Michigan State University
170,Maurice Lucas,1975,1988,F-C,6-9,215,February 18, 1952,Marquette University
171,John Lucas III,2006,2017,G,5-11,166,November 21, 1982,Baylor University, Oklahoma State University
172,Ted Luckenbill,1962,1963,F,6-6,205,July 27, 1939,University of Houston
173,Tyronn Lue,1999,2009,G,6-0,175,May 3, 1977,University of Nebraska
174,Jim Luisi,1954,1954,G,6-2,180,November 2, 1928,St. Francis College
175,Al Lujack,1947,1947,F,6-3,220,October 5, 1920,Georgetown University
176,Phil Lumpkin,1975,1976,G,6-0,165,December 20, 1951,Miami University
177,Ray Lumpp,1949,1953,G,6-1,178,July 11, 1923,New York University
178,Timothe Luwawu-Cabarrot,2017,2018,F,6-6,205,May 9, 1995,
179,Tyler Lydon,2018,2018,F,6-10,215,April 9, 1996,Syracuse University
180,Trey Lyles,2016,2018,F,6-10,234,November 5, 1995,University of Kentucky
181,R.B. Lynam,1968,1968,G,6-1,190,,Oklahoma Baptist University
182,George Lynch,1994,2005,F,6-8,218,September 3, 1970,University of North Carolina
183,Kevin Lynch,1992,1993,G-F,6-5,195,December 24, 1968,University of Minnesota
184,Lonnie Lynn,1970,1970,F,6-7,215,May 24, 1943,Wilberforce University
185,Mike Lynn,1970,1971,F,6-7,215,November 25, 1945,University of California, Los Angeles
1,Sheldon Mac,2017,2017,G,6-5,200,December 21, 1992,University of Miami
2,Mike Macaluso,1974,1974,F,6-5,210,July 20, 1951,Canisius College
3,Ed Macauley*,1950,1959,C-F,6-8,185,March 22, 1928,Saint Louis University
4,Todd MacCulloch,2000,2003,C,7-0,280,January 27, 1976,University of Washington
5,Ronnie MacGilvray,1955,1955,G,6-2,185,July 20, 1930,St. John's University
6,Scott Machado,2013,2013,G,6-1,205,June 8, 1990,Iona College
7,Arvydas Macijauskas,2006,2006,G,6-4,214,January 19, 1980,
8,Ollie Mack,1980,1982,G,6-3,185,June 6, 1957,East Carolina University
9,Sam Mack,1993,2002,F-G,6-7,220,May 26, 1970,Iowa State University, Tyler Junior College, University of Houston
10,Shelvin Mack,2012,2018,G,6-3,203,April 22, 1990,Butler University
11,Malcolm Mackey,1994,1994,F-C,6-9,248,July 11, 1970,Georgia Institute of Technology
12,Rudy Macklin,1982,1984,F-G,6-7,205,February 19, 1958,Louisiana State University
13,Vernon Macklin,2012,2012,F,6-10,227,September 20, 1986,Georgetown University, University of Florida
14,Johnny Macknowswki,1950,1951,G-F,6-0,180,January 7, 1923,Seton Hall University
15,Don MacLean,1993,2001,F,6-10,235,January 16, 1970,University of California, Los Angeles
16,Mark Macon,1992,1999,G,6-5,185,April 14, 1969,Temple University
17,Kyle Macy,1981,1987,G,6-3,175,April 9, 1957,Purdue University, University of Kentucky
18,Jack Maddox,1949,1949,F-G,6-3,185,December 10, 1919,West Texas A&M; University
19,Tito Maddox,2003,2003,G,6-4,190,June 7, 1981,California State University, Fresno
20,Gerald Madkins,1994,1998,G,6-4,200,April 18, 1969,University of California, Los Angeles
21,Mark Madsen,2001,2009,F,6-9,240,January 28, 1976,Stanford University
22,Norm Mager,1951,1951,F,6-5,185,March 23, 1926,City College of New York
23,Josh Magette,2018,2018,G,6-1,160,November 28, 1989,Alabama - Huntsville
24,Corey Maggette,2000,2013,F,6-6,218,November 12, 1979,Duke University
25,Dave Magley,1983,1983,F,6-8,202,November 24, 1959,University of Kansas
26,Jamaal Magloire,2001,2012,C,6-11,259,May 21, 1978,University of Kentucky
27,Randolph Mahaffey,1968,1971,F,6-7,210,September 28, 1945,Clemson University
28,Ian Mahinmi,2008,2018,C,6-11,250,November 5, 1986,
29,John Mahnken,1947,1953,C,6-8,220,June 16, 1922,Georgetown University
30,Brian Mahoney,1973,1973,G,6-3,175,December 17, 1948,Manhattan College
31,Mo Mahoney,1953,1954,F,6-2,205,November 20, 1927,Brown University
32,Rick Mahorn,1981,1999,C-F,6-10,240,September 21, 1958,Hampton University
33,Dan Majerle,1989,2002,G-F,6-6,215,September 9, 1965,Central Michigan University
34,Renaldo Major,2007,2007,F,6-7,200,May 7, 1982,South Plains College, California State University, Fresno
35,Thon Maker,2017,2018,F-C,7-1,216,February 25, 1997,
36,Lionel Malamed,1949,1949,G,5-9,150,November 15, 1924,City College of New York
37,Jeff Malone,1984,1996,G,6-4,205,June 28, 1961,Mississippi State University
38,Karl Malone*,1986,2004,F,6-9,250,July 24, 1963,Louisiana Tech University
39,Moses Malone*,1975,1995,C-F,6-10,215,March 23, 1955,
40,Matt Maloney,1997,2003,G,6-3,192,December 6, 1971,Vanderbilt University, University of Pennsylvania
41,Steve Malovic,1980,1980,F,6-10,230,July 21, 1956,University of Southern California, San Diego State University
42,Mike Maloy,1971,1973,F,6-7,215,May 10, 1949,Davidson College
43,Ted Manakas,1974,1974,G,6-2,180,February 22, 1951,Princeton University
44,John Mandic,1949,1950,F-C,6-4,205,October 3, 1919,Oregon State University
45,Frank Mangiapane,1947,1947,G,5-10,195,August 5, 1925,New York University
46,Danny Manning,1989,2003,F-C,6-10,230,May 17, 1966,University of Kansas
47,Ed Manning,1968,1976,F,6-7,210,January 2, 1944,Jackson State University
48,Guy Manning,1968,1969,F,6-6,195,February 4, 1944,Prairie View A&M; University
49,Rich Manning,1996,1997,C,6-11,253,June 23, 1970,Syracuse University, University of Washington
50,Pace Mannion,1984,1989,G,6-7,190,September 22, 1960,University of Utah
51,Nick Mantis,1960,1963,G,6-3,190,December 7, 1935,Northwestern University
52,Pete Maravich*,1971,1980,G,6-5,197,June 22, 1947,Louisiana State University
53,Press Maravich,1947,1947,G,6-0,185,August 20, 1920,Davis & Elkins College
54,Devyn Marble,2015,2016,G-F,6-6,200,September 21, 1992,University of Iowa
55,Roy Marble,1990,1994,G-F,6-6,190,December 13, 1966,University of Iowa
56,Stephon Marbury,1997,2009,G,6-2,180,February 20, 1977,Georgia Institute of Technology
57,Sarunas Marciulionis*,1990,1997,G,6-5,200,June 13, 1964,
58,Saul Mariaschin,1948,1948,G,5-11,165,September 1, 1924,Harvard University
59,Jack Marin,1967,1977,F-G,6-7,200,October 12, 1944,Duke University
60,Shawn Marion,2000,2015,F,6-7,220,May 7, 1978,University of Nevada, Las Vegas
61,Boban Marjanovic,2016,2018,C,7-3,290,August 15, 1988,
62,Lauri Markkanen,2018,2018,F-C,7-0,230,May 22, 1997,University of Arizona
63,Damir Markota,2007,2007,C,6-10,225,December 26, 1985,
64,Sean Marks,1999,2011,F-C,6-10,250,August 23, 1975,University of California
65,Harvey Marlatt,1971,1973,G,6-3,185,August 26, 1948,Eastern Michigan University
66,Jim Marsh,1972,1972,F,6-7,215,April 26, 1946,University of Southern California
67,Ricky Marsh,1978,1978,G,6-3,200,March 10, 1954,Manhattan College
68,Donny Marshall,1996,2003,F,6-7,230,July 17, 1972,University of Connecticut
69,Donyell Marshall,1995,2009,F,6-9,218,May 18, 1973,University of Connecticut
70,Kendall Marshall,2013,2016,G,6-4,200,August 19, 1991,University of North Carolina
71,Rawle Marshall,2006,2007,G-F,6-9,190,February 20, 1982,Ball State University, Oakland University
72,Tom Marshall,1955,1959,F-G,6-4,215,January 6, 1931,Western Kentucky University
73,Vester Marshall,1974,1974,F,6-7,200,December 22, 1948,University of Oklahoma
74,Bill Martin,1986,1988,F,6-7,205,August 16, 1962,Georgetown University
75,Bob Martin,1994,1995,C,7-0,250,October 7, 1969,University of Minnesota
76,Brian Martin,1986,1986,F,6-9,212,August 18, 1962,University of Kansas
77,Cartier Martin,2009,2015,F,6-7,220,November 20, 1984,Kansas State University
78,Cuonzo Martin,1996,1997,G-F,6-5,213,September 23, 1971,Purdue University
79,Darrick Martin,1995,2008,G,5-11,170,March 6, 1971,University of California, Los Angeles
80,Dino Martin,1947,1948,G,5-8,160,May 25, 1920,Georgetown University
81,Don Martin,1947,1949,C-F,6-7,210,February 7, 1920,Central Missouri State University
82,Fernando Martin,1987,1987,C,6-9,220,March 25, 1962,
83,Jarell Martin,2016,2018,F,6-10,239,May 24, 1994,Louisiana State University
84,Jeff Martin,1990,1991,G,6-5,195,January 14, 1967,Murray State University
85,Kenyon Martin,2001,2015,F,6-9,234,December 30, 1977,University of Cincinnati
86,Kevin Martin,2005,2016,G,6-7,199,February 1, 1983,Western Carolina University
87,LaRue Martin,1973,1976,C,6-11,208,March 30, 1950,Loyola University of Chicago
88,Maurice Martin,1987,1988,F-G,6-6,200,July 2, 1964,Saint Joseph's University
89,Phil Martin,1955,1955,G,6-3,190,April 2, 1928,University of Toledo
90,Slater Martin*,1950,1960,G,5-10,170,October 22, 1925,University of Texas at Austin
91,Whitey Martin,1962,1962,G,6-2,185,April 11, 1939,St. Bonaventure University
92,Jamal Mashburn,1994,2004,F,6-8,240,November 29, 1972,University of Kentucky
93,Al Masino,1953,1954,G,5-10,174,February 5, 1928,Canisius College
94,Anthony Mason,1990,2003,F,6-7,250,December 14, 1966,Tennessee State University
95,Desmond Mason,2001,2010,F,6-7,224,October 11, 1977,Oklahoma State University
96,Frank Mason,2018,2018,G,6-0,189,April 3, 1994,University of Kansas
97,Roger Mason,2003,2014,G,6-5,200,September 10, 1980,University of Virginia
98,Tony Massenburg,1991,2005,F,6-9,220,July 31, 1967,University of Maryland
99,Eddie Mast,1971,1973,F-C,6-9,220,October 3, 1948,Temple University
100,Mangok Mathiang,2018,2018,C-F,6-10,230,October 8, 1992,University of Louisville
101,Johnny Mathis,1968,1968,F,6-6,220,July 14, 1943,Savannah State University
102,Wes Matthews,1981,1990,G,6-1,170,August 24, 1959,University of Wisconsin
